run,start_time_min,end_time_min,jar_mas_g,jar_and_sample_mass_g,sample_mass_g,slope,surface,rainfall,replicate
55,25,30,2.56409,2.5753,0.01028,10,concrete,med,3
55,N/A,Remainder,2.54691,2.60554,0.05863,10,concrete,med,3
56,N/A,Blank,2.55181,2.5534,0.00159,10,concrete,med,4
56,0,5,2.55218,3.06209,0.50832,10,concrete,med,4
56,5,10,2.55211,2.78499,0.23129,10,concrete,med,4
56,10,15,2.54742,2.61127,0.06226,10,concrete,med,4
56,15,20,2.56671,2.59608,0.02778,10,concrete,med,4
56,20,25,2.53161,2.54687,0.01367,10,concrete,med,4
56,25,30,2.48493,2.49541,0.00889,10,concrete,med,4
56,N/A,Remainder,2.54856,2.59441,0.04585,10,concrete,med,4
57,N/A,Blank,2.53847,2.54022,0.00175,5,concrete,med,1
57,0,5,2.56028,3.2385,0.67647,5,concrete,med,1
57,5,10,2.56059,2.70448,0.14214,5,concrete,med,1
57,10,15,2.57068,2.60737,0.03494,5,concrete,med,1
57,15,20,2.57275,2.58615,0.01165,5,concrete,med,1
57,20,25,2.57108,2.58183,0.009,5,concrete,med,1
57,25,30,2.54446,2.55219,0.00598,5,concrete,med,1
57,N/A,Remainder,2.56996,2.60793,0.03797,5,concrete,med,1
58,N/A,Blank,2.54923,2.5505,0.00127,5,concrete,med,2
58,0,5,2.44024,3.1085,0.66699,5,concrete,med,2
58,5,10,2.55628,2.71828,0.16073,5,concrete,med,2
58,10,15,2.54746,2.58058,0.03185,5,concrete,med,2
58,15,20,2.54789,2.56351,0.01435,5,concrete,med,2
58,20,25,2.55486,2.56726,0.01113,5,concrete,med,2
58,25,30,2.56279,2.56997,0.00591,5,concrete,med,2
58,N/A,Remainder,2.55212,2.59248,0.04036,5,concrete,med,2
59,N/A,Blank,2.56163,2.56303,0.0014,5,concrete,med,3
59,0,5,2.55797,3.25835,0.69898,5,concrete,med,3
59,5,10,2.55335,2.68826,0.13351,5,concrete,med,3
59,10,15,2.56664,2.60141,0.03337,5,concrete,med,3
59,15,20,2.57896,2.59341,0.01305,5,concrete,med,3
59,20,25,2.56632,2.57336,0.00564,5,concrete,med,3
59,25,30,2.54994,2.556,0.00466,5,concrete,med,3
59,N/A,Remainder,2.54942,2.58414,0.03472,5,concrete,med,3
60,N/A,Blank,2.55534,2.55643,0.00109,5,concrete,med,4
60,0,5,2.56331,3.22891,0.66451,5,concrete,med,4
60,5,10,2.54747,2.71348,0.16492,5,concrete,med,4
60,10,15,2.55917,2.59445,0.03419,5,concrete,med,4
60,15,20,2.49578,2.51184,0.01497,5,concrete,med,4
60,20,25,2.46085,2.47097,0.00903,5,concrete,med,4
60,25,30,2.46557,2.47246,0.0058,5,concrete,med,4
60,N/A,Remainder,2.4431,2.48019,0.03709,5,concrete,med,4
61,N/A,Blank,2.57558,2.57651,0.00093,5,concrete,low,1
61,0,5,2.44035,2.7304,0.28912,5,concrete,low,1
61,5,10,2.46478,2.75438,0.28867,5,concrete,low,1
61,10,15,2.52406,2.60216,0.07717,5,concrete,low,1
61,15,20,2.47263,2.51707,0.04351,5,concrete,low,1
61,20,25,2.53116,2.55231,0.02022,5,concrete,low,1
61,25,30,2.4489,2.46298,0.01315,5,concrete,low,1
61,N/A,Remainder,2.46431,2.55676,0.09245,5,concrete,low,1
62,N/A,Blank,2.55023,2.55253,0.0023,5,concrete,low,2
62,0,5,2.44591,2.78664,0.33843,5,concrete,low,2
62,5,10,2.52933,2.81447,0.28284,5,concrete,low,2
62,10,15,2.4819,2.5498,0.0656,5,concrete,low,2
62,15,20,2.48127,2.52228,0.03871,5,concrete,low,2
62,20,25,2.45957,2.478,0.01613,5,concrete,low,2
62,25,30,2.4465,2.46198,0.01318,5,concrete,low,2
62,N/A,Remainder,2.47252,2.56191,0.08939,5,concrete,low,2
63,N/A,Blank,2.55109,2.55206,0.00097,5,concrete,low,3
63,0,5,2.5366,2.84247,0.3049,5,concrete,low,3
63,5,10,2.50877,2.81532,0.30558,5,concrete,low,3
63,10,15,2.56628,2.63813,0.07088,5,concrete,low,3
63,15,20,2.56628,2.6026,0.03535,5,concrete,low,3
63,20,25,2.56762,2.59169,0.0231,5,concrete,low,3
63,25,30,2.45984,2.47508,0.01427,5,concrete,low,3
63,N/A,Remainder,2.56771,2.65084,0.08313,5,concrete,low,3
64,N/A,Blank,2.56405,2.56621,0.00216,5,concrete,low,4
64,0,5,2.55646,2.86884,0.31022,5,concrete,low,4
64,5,10,2.46786,2.74811,0.27809,5,concrete,low,4
64,10,15,2.56496,2.63494,0.06782,5,concrete,low,4
64,15,20,2.55869,2.59846,0.03761,5,concrete,low,4
64,20,25,2.54732,2.56678,0.0173,5,concrete,low,4
64,25,30,2.54418,2.56211,0.01577,5,concrete,low,4
64,N/A,Remainder,2.55313,2.65801,0.10488,5,concrete,low,4
65,N/A,Blank,2.56994,2.57153,0.00159,10,concrete,low,1
65,0,5,2.44479,2.66389,0.21751,10,concrete,low,1
65,5,10,2.55977,2.83995,0.27859,10,concrete,low,1
65,10,15,2.56273,2.67074,0.10642,10,concrete,low,1
65,15,20,2.56131,2.60636,0.04346,10,concrete,low,1
65,20,25,2.56492,2.59611,0.0296,10,concrete,low,1
65,25,30,2.56342,2.58289,0.01788,10,concrete,low,1
65,N/A,Remainder,2.55395,2.6619,0.10795,10,concrete,low,1
66,N/A,Blank,2.55819,2.55959,0.0014,10,concrete,low,2
66,0,5,2.57234,2.75466,0.18092,10,concrete,low,2
66,5,10,2.57248,2.89893,0.32505,10,concrete,low,2
66,10,15,2.56328,2.67093,0.10625,10,concrete,low,2
66,15,20,2.57865,2.62498,0.04493,10,concrete,low,2
66,20,25,2.54108,2.57464,0.03216,10,concrete,low,2
66,25,30,2.54597,2.56135,0.01398,10,concrete,low,2
66,N/A,Remainder,2.56115,2.66881,0.10766,10,concrete,low,2
67,N/A,Blank,2.55552,2.55623,0.00071,10,concrete,low,3
67,0,5,2.53948,2.7213,0.18111,10,concrete,low,3
67,5,10,2.55156,2.85306,0.30079,10,concrete,low,3
67,10,15,2.57116,2.68054,0.10867,10,concrete,low,3
67,15,20,2.54754,2.59787,0.04962,10,concrete,low,3
67,20,25,2.55961,2.59253,0.03221,10,concrete,low,3
67,25,30,2.51696,2.53503,0.01736,10,concrete,low,3
67,N/A,Remainder,2.46879,2.58091,0.11212,10,concrete,low,3
68,N/A,Blank,2.53003,2.53194,0.00191,10,concrete,low,4
68,0,5,2.52811,2.74732,0.2173,10,concrete,low,4
68,5,10,2.5397,2.83347,0.29186,10,concrete,low,4
68,10,15,2.5235,2.6325,0.10709,10,concrete,low,4
68,15,20,2.50768,2.55435,0.04476,10,concrete,low,4
68,20,25,2.51335,2.54341,0.02815,10,concrete,low,4
68,25,30,2.5187,2.53631,0.0157,10,concrete,low,4
68,N/A,Remainder,2.52265,2.62104,0.09839,10,concrete,low,4
69,N/A,Blank,2.51282,2.51494,0.00212,15,concrete,low,1
69,0,5,2.50828,2.63388,0.12348,15,concrete,low,1
69,5,10,2.52146,2.85542,0.33184,15,concrete,low,1
69,10,15,2.53003,2.64994,0.11779,15,concrete,low,1
69,15,20,2.51902,2.57082,0.04968,15,concrete,low,1
69,20,25,2.53698,2.57485,0.03575,15,concrete,low,1
69,25,30,2.51723,2.53716,0.01781,15,concrete,low,1
69,N/A,Remainder,2.52793,2.62288,0.09495,15,concrete,low,1
70,N/A,Blank,2.52846,2.53081,0.00235,15,concrete,low,2
70,0,5,2.52538,2.70531,0.17758,15,concrete,low,2
70,5,10,2.52077,2.83186,0.30874,15,concrete,low,2
70,10,15,2.55054,2.66402,0.11113,15,concrete,low,2
70,15,20,2.52365,2.57844,0.05244,15,concrete,low,2
70,20,25,2.51599,2.55159,0.03325,15,concrete,low,2
70,25,30,2.53339,2.55111,0.01537,15,concrete,low,2
70,N/A,Remainder,2.54187,2.64608,0.10421,15,concrete,low,2
71,N/A,Blank,2.53297,2.53465,0.00168,15,concrete,low,3
71,0,5,2.53182,2.73624,0.20274,15,concrete,low,3
71,5,10,2.52743,2.84052,0.31141,15,concrete,low,3
71,10,15,2.53213,2.62335,0.08954,15,concrete,low,3
71,15,20,2.51251,2.56441,0.05022,15,concrete,low,3
71,20,25,2.51685,2.55162,0.03309,15,concrete,low,3
71,25,30,2.52894,2.54597,0.01535,15,concrete,low,3
71,N/A,Remainder,2.51612,2.60414,0.08802,15,concrete,low,3
72,N/A,Blank,2.53192,2.53403,0.00211,15,concrete,low,4
72,0,5,2.5269,2.68696,0.15795,15,concrete,low,4
72,5,10,2.5181,2.83388,0.31367,15,concrete,low,4
72,10,15,2.52471,2.64719,0.12037,15,concrete,low,4
72,15,20,2.52203,2.57548,0.05134,15,concrete,low,4
72,20,25,2.53365,2.56934,0.03358,15,concrete,low,4
72,25,30,2.53818,2.55652,0.01623,15,concrete,low,4
72,N/A,Remainder,2.51508,2.615,0.09992,15,concrete,low,4
