run,start_time_min,end_time_min,jar_mas_g,jar_and_sample_mass_g,sample_mass_g,slope,surface,rainfall,replicate
13,20,25,2.58737,2.62189,0.03123,5,sand,low,1
13,25,30,2.60488,2.63299,0.02482,5,sand,low,1
13,N/A,Remainder,2.6437,3.0759,0.42891,5,sand,low,1
14,N/A,Blank,2.59669,2.60182,0.00513,5,sand,low,2
14,0,5,2.60995,2.7456,0.13052,5,sand,low,2
14,5,10,2.57782,2.81417,0.23122,5,sand,low,2
14,10,15,2.63632,2.74143,0.09998,5,sand,low,2
14,15,20,2.59359,2.64421,0.04549,5,sand,low,2
14,20,25,2.61791,2.65468,0.03164,5,sand,low,2
14,25,30,2.58014,2.60934,0.02407,5,sand,low,2
14,N/A,Remainder,2.58978,3.07188,0.4821,5,sand,low,2
15,N/A,Blank,2.59301,2.6001,0.00709,5,sand,low,3
15,0,5,2.58517,2.72347,0.13121,5,sand,low,3
15,5,10,2.65591,2.92056,0.25756,5,sand,low,3
15,10,15,2.59691,2.67987,0.07587,5,sand,low,3
15,15,20,2.55055,2.59838,0.04074,5,sand,low,3
15,20,25,2.58964,2.62874,0.03201,5,sand,low,3
15,25,30,2.61815,2.64632,0.02108,5,sand,low,3
15,N/A,Remainder,2.62529,3.11992,0.49463,5,sand,low,3
16,N/A,Blank,2.58906,2.59622,0.00716,5,sand,low,4
16,0,5,2.67045,2.81001,0.1324,5,sand,low,4
16,5,10,2.6097,2.86236,0.2455,5,sand,low,4
16,10,15,2.57857,2.66993,0.0842,5,sand,low,4
16,15,20,2.64824,2.69904,0.04364,5,sand,low,4
16,20,25,2.63514,2.6716,0.0293,5,sand,low,4
16,25,30,2.63108,2.66082,0.02258,5,sand,low,4
16,N/A,Remainder,2.57436,3.05599,0.48163,5,sand,low,4
17,N/A,Blank,2.58893,2.597,0.00807,10,sand,low,1
17,0,5,2.6173,2.69048,0.06511,10,sand,low,1
17,5,10,2.60535,2.78787,0.17445,10,sand,low,1
17,10,15,2.55274,2.67659,0.11578,10,sand,low,1
17,15,20,2.57725,2.65531,0.06999,10,sand,low,1
17,20,25,2.59006,2.64487,0.04674,10,sand,low,1
17,25,30,2.63402,2.67319,0.0311,10,sand,low,1
17,N/A,Remainder,2.55147,3.10758,0.55611,10,sand,low,1
18,N/A,Blank,2.59154,2.59716,0.00562,10,sand,low,2
18,0,5,2.55618,2.60892,0.04712,10,sand,low,2
18,5,10,2.65022,2.81627,0.16043,10,sand,low,2
