"","condition","size_class","Q25_count_time","Q50_count_time","Q75_count_time","Q25_vol_time","Q50_vol_time","Q75_vol_time","Q25_count_v","Q50_count_v","Q75_count_v","Q25_vol_v","Q50_vol_v","Q75_vol_v","slope","surface","rainfall"
"1",1,"<125 µm",3.55896235320772,8.19748483604688,15.0868141573857,3.6906670889841,8.23742214065642,14.9706809943279,0.00515131420730241,0.00223645834057734,0.00121518918057053,0.00496748498071112,0.00222561537096026,0.00122461585683907,15,"sand","med"
"2",1,"125–250 µm",3.72304510274887,7.47747463644063,12.9329854348378,3.67035609465054,7.25747630813337,12.0803896404102,0.00492428451103027,0.0024518081604701,0.00141756390476931,0.0049949740190206,0.00252613064858199,0.00151761109360301,15,"sand","med"
"3",1,"250–500 µm",3.56879242659688,6.84178073745221,9.91671511371844,3.56336503060941,6.77303265829621,9.74377289840002,0.00513712515098997,0.00267961427541456,0.00184873046397911,0.00514494955634617,0.00270681307152373,0.00188154357911439,15,"sand","med"
"4",1,"500–1000 µm",3.04142278253039,6.1325399203733,9.31354081938439,3.01228230990729,6.20063924583559,9.73059166744618,0.00602788058228473,0.0029895171611402,0.00196846008289092,0.0060861936057705,0.00295668440082951,0.00188409235120488,15,"sand","med"
"5",1,">1000 µm",2.11525423728814,4.23050847457627,7.85611510791367,1.9470165490266,3.8940330980532,7.46000367231965,0.00866720085470086,0.00433360042735043,0.00233363858363858,0.00941611582217879,0.0047080579110894,0.00245755017539189,15,"sand","med"
"6",2,"<125 µm",3.99800448307911,7.96954589790831,14.3483872279019,3.96418130564461,7.89117094803462,14.3301596044782,0.00458562100441011,0.00230042383445525,0.00127772780606885,0.00462474642802751,0.00232327159734126,0.00127935304555883,10,"sand","med"
"7",2,"125–250 µm",3.6260275895256,7.11804350777679,11.6723275470977,3.51620231761045,6.90299471709356,10.6477685380792,0.00505603801424244,0.00257561411549442,0.00157066645528568,0.00521395860571309,0.00265585214601648,0.00172180051320317,10,"sand","med"
"8",2,"250–500 µm",2.94040512575613,5.99499199798601,9.31656956357555,2.76241763475325,5.64435741021116,9.03586780684463,0.00623496849898155,0.00305810805744067,0.00196782015185182,0.00663669863046285,0.00324808157969704,0.00202895103439272,10,"sand","med"
"9",2,"500–1000 µm",2.13587984528952,4.27175969057904,7.91136284012612,2.16592213158636,4.33184426317272,8.34629566566992,0.00858350406450334,0.00429175203225167,0.00231734199325904,0.0084644471128358,0.0042322235564179,0.00219658325893512,10,"sand","med"
"10",2,">1000 µm",1.62190626645603,3.24381253291206,4.86571879936809,1.58119101551511,3.16238203103021,4.74357304654532,0.0113035714285714,0.00565178571428572,0.00376785714285714,0.0115946354067544,0.00579731770337718,0.00386487846891812,10,"sand","med"
"11",3,"<125 µm",3.93398767417537,8.62962567606035,15.8956329034155,3.81484786604098,8.40871253791746,15.7731163077688,0.00466024168140697,0.00212446449261319,0.00115335661340002,0.00480578360582424,0.00218027828287181,0.00116231523153757,5,"sand","med"
"12",3,"125–250 µm",2.89490497103699,6.27233776530861,12.2969761610718,2.59509662568404,5.3519840853421,10.415687324502,0.00633296550897355,0.00292288681179326,0.00149088142427816,0.00706460528362826,0.00342552089860362,0.00176016548521053,5,"sand","med"
"13",3,"250–500 µm",1.95831214524264,3.91662429048529,7.52273627897761,1.77462213815758,3.54924427631517,6.16829061017394,0.00936180341722885,0.00468090170861442,0.00243705649825398,0.0103308377254704,0.0051654188627352,0.00297219026987711,5,"sand","med"
"14",3,"500–1000 µm",1.48957635321272,2.97915270642543,4.46872905963815,1.48970733132177,2.97941466264354,4.4691219939653,0.0123077499812561,0.00615387499062805,0.00410258332708536,0.0123066678587577,0.00615333392937886,0.00410222261958591,5,"sand","med"
"15",3,">1000 µm",1.33711913884328,2.67423827768655,4.01135741652983,1.33227193439268,2.66454386878536,3.99681580317804,0.0137110694183865,0.00685553470919325,0.0045703564727955,0.0137609543968144,0.00688047719840718,0.00458698479893812,5,"sand","med"
"16",4,"<125 µm",5.4388646685935,10.9803335054598,18.2818725099602,5.06042497981009,10.6065320594931,17.9469475523454,0.00337080152760528,0.00166965177553281,0.00100281485517116,0.00362288412662554,0.0017284945946988,0.00102152933137298,5,"sand","low"
"17",4,"125–250 µm",4.1068849868673,8.67655685110254,14.7381258508546,3.99020725748089,8.20589001838509,14.0041204374977,0.00446404839481951,0.00211297334276138,0.0012439392578718,0.00459458172228066,0.00223416756649894,0.00130913850785256,5,"sand","low"
"18",4,"250–500 µm",3.91860795821806,7.29398361066979,11.2934261317113,4.09413739108334,7.15863464603743,9.93058732322289,0.00467853215448227,0.00251348704794386,0.00162336328404844,0.00447794775360047,0.00256100977907589,0.00184614794036003,5,"sand","low"
"19",4,"500–1000 µm",4.26663568773234,6.90976129239672,9.21591183089535,4.7740945464272,7.19168721111744,9.49223403282035,0.00429690619849412,0.00265325132917497,0.00198931301315978,0.00384016972329413,0.00254923953102303,0.00193140342620546,5,"sand","low"
"20",4,">1000 µm",4.72635135135135,6.91125290023202,8.93996519721578,5.13230579568474,7.12622187220001,9.12013794871529,0.00387896116273529,0.00265267869632116,0.0020507164098405,0.00357214360624187,0.00257265822789678,0.00201020351187954,5,"sand","low"
"21",5,"<125 µm",6.84080506420446,12.8891559315516,20.6704559006423,6.80623137556923,12.6364053211674,20.3593068405275,0.00267999645674239,0.00142238432296833,0.000886934154788704,0.0026936100643214,0.00145083454252793,0.0009004890724884,10,"sand","low"
