"","condition","t","pred_frac"
"1",1,0,0
"2",1,0.303030303030303,0.0369789363384714
"3",1,0.606060606060606,0.0719977548040813
"4",1,0.909090909090909,0.105160354060662
"5",1,1.21212121212121,0.136565125484707
"6",1,1.51515151515152,0.166305245086483
"7",1,1.81818181818182,0.19446894995748
"8",1,2.12121212121212,0.221139800064394
"9",1,2.42424242424242,0.246396926166364
"10",1,2.72727272727273,0.270315264591035
"11",1,3.03030303030303,0.292965779565994
"12",1,3.33333333333333,0.314415673765234
"13",1,3.63636363636364,0.334728587695327
"14",1,3.93939393939394,0.353964788512856
"15",1,4.24242424242424,0.372181348833339
"16",1,4.54545454545455,0.389432316062139
"17",1,4.84848484848485,0.405768872749764
"18",1,5.15151515151515,0.421239488447326
"19",1,5.45454545454546,0.435890063512691
"20",1,5.75757575757576,0.449764065293999
"21",1,6.06060606060606,0.462902657094588
"22",1,6.36363636363636,0.475344820301969
"23",1,6.66666666666667,0.48712747004318
"24",1,6.96969696969697,0.498285564709686
"25",1,7.27272727272727,0.508852209676754
"26",1,7.57575757575758,0.518858755525055
"27",1,7.87878787878788,0.528334891055889
"28",1,8.18181818181818,0.537308731376022
"29",1,8.48484848484848,0.545806901313462
"30",1,8.78787878787879,0.553854614411676
"31",1,9.09090909090909,0.561475747736608
"32",1,9.3939393939394,0.568692912718455
"33",1,9.6969696969697,0.575527522238382
"34",1,10,0.581999854159207
"35",1,10.3030303030303,0.588129111488568
"36",1,10.6060606060606,0.593933479353054
"37",1,10.9090909090909,0.59943017895235
"38",1,11.2121212121212,0.604635518653467
"39",1,11.5151515151515,0.609564942376659
"40",1,11.8181818181818,0.614233075416574
"41",1,12.1212121212121,0.618653767834598
"42",1,12.4242424242424,0.622840135551131
"43",1,12.7272727272727,0.626804599259705
"44",1,13.030303030303,0.630558921278417
"45",1,13.3333333333333,0.634114240447993
"46",1,13.6363636363636,0.637481105180043
"47",1,13.9393939393939,0.640669504753538
"48",1,14.2424242424242,0.64368889895239
"49",1,14.5454545454545,0.646548246132035
"50",1,14.8484848484848,0.649256029798326
"51",1,15.1515151515152,0.651820283777567
"52",1,15.4545454545455,0.654248616052374
"53",1,15.7575757575758,0.656548231334092
"54",1,16.0606060606061,0.658725952438727
"55",1,16.3636363636364,0.660788240529816
"56",1,16.6666666666667,0.662741214288298
"57",1,16.969696969697,0.664590668066265
"58",1,17.2727272727273,0.666342089078442
"59",1,17.5757575757576,0.668000673682415
"60",1,17.8787878787879,0.6695713427959
"61",1,18.1818181818182,0.671058756496804
"62",1,18.4848484848485,0.672467327849383
"63",1,18.7878787878788,0.673801235997533
"64",1,19.0909090909091,0.675064438564051
"65",1,19.3939393939394,0.676260683392656
"66",1,19.6969696969697,0.677393519667607
"67",1,20,0.678466308443917
"68",1,20.3030303030303,0.67948223261939
"69",1,20.6060606060606,0.680444306378085
"70",1,20.9090909090909,0.681355384133213
"71",1,21.2121212121212,0.682218168996003
"72",1,21.5151515151515,0.683035220795663
"73",1,21.8181818181818,0.683808963674243
"74",1,22.1212121212121,0.684541693278903
"75",1,22.4242424242424,0.685235583572963
"76",1,22.7272727272727,0.685892693285919
"77",1,23.030303030303,0.686514972021557
"78",1,23.3333333333333,0.687104266042318
"79",1,23.6363636363636,0.687662323747034
"80",1,23.9393939393939,0.688190800858325
"81",1,24.2424242424242,0.688691265335024
"82",1,24.5454545454545,0.689165202024215
"83",1,24.8484848484848,0.689614017066676
"84",1,25.1515151515152,0.690039042068822
"85",1,25.4545454545455,0.690441538053489
"86",1,25.7575757575758,0.690822699201316
"87",1,26.0606060606061,0.691183656393803
"88",1,26.3636363636364,0.691525480568567
"89",1,26.6666666666667,0.691849185896748
"90",1,26.969696969697,0.69215573279199
"91",1,27.2727272727273,0.692446030759931
"92",1,27.5757575757576,0.692720941096649
"93",1,27.8787878787879,0.692981279444072
"94",1,28.1818181818182,0.693227818209942
"95",1,28.4848484848485,0.693461288859495
"96",1,28.7878787878788,0.693682384085677
"97",1,29.0909090909091,0.693891759864321
"98",1,29.3939393939394,0.694090037400385
"99",1,29.6969696969697,0.694277804971027
"100",1,30,0.694455619670992
"101",2,0,0
"102",2,0.303030303030303,0.0323586598630571
"103",2,0.606060606060606,0.0631483438847775
"104",2,0.909090909090909,0.0924451270695377
"105",2,1.21212121212121,0.120321395769449
"106",2,1.51515151515152,0.146846026536212
"107",2,1.81818181818182,0.172084556300969
"108",2,2.12121212121212,0.196099344302645
"109",2,2.42424242424242,0.218949726164854
"110",2,2.72727272727273,0.240692160502078
"111",2,3.03030303030303,0.261380368417339
"112",2,3.33333333333333,0.281065466236046
"113",2,3.63636363636364,0.299796091803967
"114",2,3.93939393939394,0.317618524661387
"115",2,4.24242424242424,0.334576800390377
"116",2,4.54545454545455,0.350712819417694
"117",2,4.84848484848485,0.366066450542165
"118",2,5.15151515151515,0.380675629442315
"119",2,5.45454545454546,0.394576452407666
"120",2,5.75757575757576,0.407803265525279
"121",2,6.06060606060606,0.420388749541896
"122",2,6.36363636363636,0.432364000611377
"123",2,6.66666666666667,0.443758607126928
"124",2,6.96969696969697,0.454600722827962
"125",2,7.27272727272727,0.464917136362222
"126",2,7.57575757575758,0.474733337475047
"127",2,7.87878787878788,0.484073579989311
"128",2,8.18181818181818,0.492960941731654
"129",2,8.48484848484848,0.501417381553066
"130",2,8.78787878787879,0.50946379358471
"131",2,9.09090909090909,0.517120058863041
"132",2,9.3939393939394,0.524405094451781
"133",2,9.6969696969697,0.531336900182104
"134",2,10,0.537932603126534
