"condition","surface","t","pred_min","pred_max","pred_q25","pred_q75"
9,"sand",6.03015075376884,0.690543697747202,0.743910703846826,0.723054011999501,0.740381544259247
9,"sand",6.18090452261306,0.697406305165774,0.750784521410343,0.730021361256738,0.747291738147864
9,"sand",6.33165829145729,0.704000315157538,0.75737066984384,0.736708021600514,0.753915309737614
9,"sand",6.48241206030151,0.710336240429005,0.763681188094759,0.743125303951112,0.760264147917338
9,"sand",6.63316582914573,0.716424182227055,0.769727611280825,0.74928406331439,0.766349648420043
9,"sand",6.78391959798995,0.722273846443162,0.775520991775317,0.755194717163203,0.772182734279751
9,"sand",6.93467336683417,0.727894559087323,0.781071919409906,0.760867263077548,0.777773875439748
9,"sand",7.08542713567839,0.733295281156333,0.786390540832016,0.766311295673322,0.783133107547424
9,"sand",7.23618090452261,0.738484622920138,0.791486578052078,0.771536022848402,0.788270049969466
9,"sand",7.38693467336683,0.743470857649026,0.796369346214575,0.776550281373572,0.79319392305973
9,"sand",7.53768844221105,0.748261934803547,0.801047770625378,0.781362551854737,0.797913564710797
9,"sand",7.68844221105528,0.75286549270819,0.80553040306648,0.785980973091763,0.802437446218938
9,"sand",7.8391959798995,0.757288870729018,0.809825437427969,0.790413355858305,0.806773687490959
9,"sand",7.98994974874372,0.761539120974684,0.813940724685791,0.794667196125961,0.810930071620228
9,"sand",8.14070351758794,0.765623019539472,0.817883787252704,0.798749687755169,0.814914058858062
9,"sand",8.29145728643216,0.769547077306305,0.82166183272864,0.802667734674354,0.818732800005547
9,"sand",8.44221105527638,0.773317550326913,0.825281767075616,0.806427962567976,0.822393149249838
9,"sand",8.5929648241206,0.776940449795748,0.828750207241272,0.810036730093268,0.825901676467977
9,"sand",8.74371859296482,0.780421551633514,0.832073493254121,0.813500139644693,0.829264679020332
9,"sand",8.89447236180904,0.78376640569561,0.835257699812608,0.816824047684349,0.832488193054813
9,"sand",9.04522613065327,0.78698034462016,0.838308647389165,0.820014074655831,0.835578004342172
9,"sand",9.19597989949749,0.790068492329738,0.841231912869569,0.823075614498353,0.838539658661833
9,"sand",9.34673366834171,0.793035772200345,0.844032839747036,0.826013843777253,0.841378471756893
9,"sand",9.49748743718593,0.79588691491065,0.846716547889695,0.828833730446341,0.844099538876184
9,"sand",9.64824120603015,0.798626465984024,0.849287942899297,0.831540042256959,0.846707743920497
9,"sand",9.79899497487437,0.801258793035384,0.851751725078254,0.834137354827978,0.849207768209422
9,"sand",9.94974874371859,0.803788092734401,0.854112398021414,0.836630059390426,0.851604098884511
9,"sand",10.1005025125628,0.806218397496167,0.85637427684827,0.839022370219852,0.853901036963872
9,"sand",10.251256281407,0.808553581910002,0.85854149609065,0.841318331769038,0.856102705062644
9,"sand",10.4020100502513,0.810797368916638,0.860618017250303,0.843521825513122,0.858213054793214
9,"sand",10.5527638190955,0.812953335743636,0.862607636040212,0.845636576518751,0.860235873858463
9,"sand",10.7035175879397,0.815024919608489,0.864513989322842,0.847666159748377,0.862174792850776
9,"sand",10.8542713567839,0.817015423198517,0.866340561758038,0.849614006110385,0.864033291769015
9,"sand",11.0050251256281,0.818928019936277,0.868090692172699,0.851483408265305,0.865814706265162
9,"sand",11.1557788944724,0.820765759038891,0.869767579663881,0.853277526197932,0.867522233631848
9,"sand",11.3065326633166,0.82253157037936,0.871374289446494,0.854999392564813,0.8691589385415
9,"sand",11.4572864321608,0.824228269157598,0.872913758456263,0.85665191782614,0.870727758547436
9,"sand",11.608040201005,0.82585856038866,0.874388800718211,0.858237895170759,0.872231509356756
9,"sand",11.7587939698492,0.827425043215291,0.875802112490469,0.859760005242623,0.873672889884516
9,"sand",11.9095477386935,0.828930215051696,0.877156277192818,0.861220820676711,0.875054487098246
9,"sand",12.0603015075377,0.830376475565115,0.878453770128971,0.862622810452085,0.876378780661512
9,"sand",12.2110552763819,0.83176613050157,0.879696963011231,0.863968344069456,0.877648147384862
9,"sand",12.3618090452261,0.833101395361876,0.880888128295787,0.865259695560352,0.878864865492138
9,"sand",12.5125628140703,0.834384398933766,0.882029443336581,0.866499047334661,0.880031118709825
9,"sand",12.6633165829146,0.835617186685783,0.883122994365335,0.867688493873073,0.881149000186761
9,"sand",12.8140703517588,0.836801724028327,0.884170780305015,0.868830045270674,0.882220516251264
9,"sand",12.964824120603,0.837939899447078,0.8851747164237,0.8699256306377,0.883247590012404
9,"sand",13.1155778894472,0.839033527513768,0.886136637835536,0.870977101363197,0.884232064811896
9,"sand",13.2663316582915,0.840084351779121,0.887058302855181,0.871986234247127,0.885175707532804
9,"sand",13.4170854271357,0.841094047552564,0.887941396211857,0.87295473450622,0.886080211770998
9,"sand",13.5678391959799,0.842064224573138,0.888787532128902,0.873884238658661,0.886947200875061
9,"sand",13.7185929648241,0.84299642957588,0.889598257274437,0.8747763172925,0.887778230860095
9,"sand",13.8693467336683,0.843892148757749,0.890375053588556,0.87563247772247,0.888574793200662
9,"sand",14.0201005025126,0.844752810147045,0.891119340992187,0.876454166539714,0.889338317507877
9,"sand",14.1708542713568,0.845579785880085,0.891832479982595,0.877242772058745,0.890070174095447
9,"sand",14.321608040201,0.846374394388778,0.892515774120261,0.877999626665766,0.890771676439275
9,"sand",14.4723618090452,0.847137902502572,0.893170472411687,0.878726009072347,0.891444083535042
9,"sand",14.6231155778894,0.847871527468139,0.893797771592477,0.879423146478256,0.892088602157988
9,"sand",14.7738693467337,0.848576438890008,0.894398818314871,0.880092216647121,0.892706389028961
9,"sand",14.9246231155779,0.849253760595245,0.894974711243739,0.880734349898433,0.893298552890623
9,"sand",15.0753768844221,0.849904572425145,0.895526503064845,0.881350631019255,0.893866156497527
9,"sand",15.2261306532663,0.850529911956808,0.896055202409076,0.881942101098885,0.894410218523648
9,"sand",15.3768844221106,0.851130776157327,0.896561775696136,0.882509759289578,0.894931715390795
9,"sand",15.5276381909548,0.851708122973231,0.897047148901082,0.883054564496294,0.895431583021173
9,"sand",15.678391959799,0.852262872857726,0.897512209246934,0.883577436998354,0.895910718517254
9,"sand",15.8291457286432,0.852795910238152,0.897957806826448,0.884079260005737,0.896369981771968
9,"sand",15.9798994974874,0.853308084926013,0.89838475615601,0.884560881152648,0.896810197012096
9,"sand",16.1306532663317,0.85380021347181,0.898793837664517,0.885023113930899,0.897232154277656
9,"sand",16.2814070351759,0.854273080466859,0.899185799119928,0.885466739065522,0.897636610839912
9,"sand",16.4321608040201,0.854727439794144,0.899561356996128,0.88589250583494,0.898024292560576
9,"sand",16.5829145728643,0.855164015830224,0.899921197782587,0.886301133337937,0.89839589519462
9,"sand",16.7336683417085,0.855583504600088,0.900265979239199,0.886693311709569,0.898752085639057
9,"sand",16.8844221105528,0.855986574886817,0.900596331598625,0.887069703288074,0.899093503129919
9,"sand",17.035175879397,0.856373869297814,0.900912858718297,0.887430943734755,0.899420760389584
9,"sand",17.1859296482412,0.856746005289297,0.901216139184228,0.887777643108731,0.899734444726516
9,"sand",17.3366834170854,0.8571035761507,0.901506727368617,0.888110386898387,0.900035119089388
9,"sand",17.4874371859296,0.857447151950545,0.901785154443197,0.888429737011244,0.900323323077477
9,"sand",17.6381909547739,0.857777280445288,0.902051929350174,0.888736232723954,0.900599573909153
9,"sand",17.7889447236181,0.858094487952599,0.902307539732535,0.889030391594002,0.900864367350194
9,"sand",17.9396984924623,0.858399280190461,0.902552452825414,0.889312710334676,0.901118178603596
9,"sand",18.0904522613065,0.858692143083424,0.902787116310167,0.889583665654777,0.901361463162473
9,"sand",18.2412060301508,0.858973543537308,0.903011959132691,0.889843715064491,0.90159465762758
9,"sand",18.391959798995,0.859243930183582,0.90322739228751,0.89009329764879,0.901818180490931
9,"sand",18.5427135678392,0.859503734094606,0.903433809569031,0.89033283480967,0.902032432886902
9,"sand",18.6934673366834,0.859753369470885,0.903631588291375,0.890562730978475,0.902237799312195
9,"sand",18.8442211055276,0.85999323430142,0.903821089978073,0.890783374299527,0.90243464831592
9,"sand",18.9949748743719,0.860223710998213,0.904002661022905,0.890995137286202,0.902623333161071
9,"sand",19.1457286432161,0.860445167005941,0.904176633323077,0.891198377450579,0.902804192458554
9,"sand",19.2964824120603,0.860657955387766,0.904343324885904,0.891393437907711,0.902977550774917
9,"sand",19.4472361809045,0.860862415388215,0.904503040410101,0.891580647955551,0.903143719214879
9,"sand",19.5979899497487,0.861058872974034,0.904656071842747,0.891760323631518,0.90330299597969
9,"sand",19.748743718593,0.861247641353869,0.904802698912943,0.891932768246626,0.903455666902332
9,"sand",19.8994974874372,0.861429021477609,0.904943189643131,0.892098272898104,0.903602005960522
9,"sand",20.0502512562814,0.861603302516186,0.905077800839021,0.892257116961355,0.90374227576844
9,"sand",20.2010050251256,0.861770762322591,0.905206778559006,0.892409568562099,0.90387672804805
9,"sand",20.3517587939698,0.861931667874855,0.905330358563943,0.892555885029487,0.904005604080887
9,"sand",20.5025125628141,0.862086275701683,0.905448766748101,0.89269631333097,0.904129135141087
9,"sand",20.6532663316583,0.862234832291434,0.905562219552078,0.892831090489635,0.904247542910474
9,"sand",20.8040201005025,0.862377574485096,0.905670924358436,0.892960443984735,0.904361039876414
9,"sand",20.9547738693467,0.86251472985387,0.905775079870784,0.893084592136085,0.904469829713176
9,"sand",21.105527638191,0.862646517061991,0.905874876476986,0.893203744472963,0.904574107647473
9,"sand",21.2562814070352,0.862773146215334,0.905970496597178,0.893318102088155,0.90467406080884
9,"sand",21.4070351758794,0.862894819196384,0.906062115017219,0.893427857977738,0.904769868565478
9,"sand",21.5577889447236,0.863011729986093,0.90614989920818,0.893533197367169,0.904861702846172
9,"sand",21.7085427135678,0.863124064973142,0.906234009632474,0.893634298024242,0.904949728448852
9,"sand",21.8592964824121,0.863232003251094,0.906314600037163,0.893731330559438,0.905034103336359
9,"sand",22.0100502512563,0.863335716903923,0.906391817734999,0.893824458714169,0.905114978919939
9,"sand",22.1608040201005,0.863435371280361,0.906465803873697,0.893913839637419,0.905192500330985
9,"sand",22.3115577889447,0.863531125257513,0.906536693693943,0.893999624151233,0.905266806681499
9,"sand",22.4623115577889,0.863623131494148,0.906604616776605,0.894081957005518,0.905338031313761
9,"sand",22.6130653266332,0.863711536674085,0.906669697279592,0.894160977122577,0.905406302039631
9,"sand",22.7638190954774,0.863796481740045,0.906732054164807,0.894236817831788,0.905471741369936
9,"sand",22.9145728643216,0.863878102118354,0.9067918014156,0.894309607094839,0.905534466734334
9,"sand",23.0653266331658,0.863956527934852,0.906849048245122,0.894379467721884,0.905594590692064
9,"sand",23.21608040201,0.864031884222346,0.906903899295952,0.894446517578991,0.905652221133954
9,"sand",23.3668341708543,0.864104291119955,0.906956454831382,0.894510869787237,0.905707461476048
9,"sand",23.5175879396985,0.864173864064636,0.907006810918687,0.894572632913786,0.9057604108452
9,"sand",23.6683417085427,0.864240713975231,0.907055059604727,0.894631911155263,0.905811164256979
9,"sand",23.8190954773869,0.864304947429301,0.907101289084204,0.894688804513744,0.905859812786186
9,"sand",23.9698492462312,0.864366666833035,0.907145583860873,0.894743408965668,0.905906443730299
9,"sand",24.1206030150754,0.864425970584523,0.907188024902009,0.894795816623925,0.905951140766146
9,"sand",24.2713567839196,0.864482953230624,0.907228689786406,0.894846115893437,0.905993984100073
9,"sand",24.4221105527638,0.864537705617702,0.907267652846191,0.894894391620458,0.906035050611884
9,"sand",24.572864321608,0.864590315036461,0.907304985302688,0.894940725235864,0.906074413992814
9,"sand",24.7236180904523,0.864640865361112,0.907340755396615,0.894985194892677,0.906112144877776
9,"sand",24.8743718592965,0.86468943718309,0.907375028512813,0.895027875598044,0.906148310972127
9,"sand",25.0251256281407,0.864736107939538,0.907407867299771,0.895068839339902,0.90618297717317
9,"sand",25.1758793969849,0.864780952036771,0.907439331784141,0.895108155208546,0.906216205686624
9,"sand",25.3266331658291,0.86482404096889,0.907469479480457,0.89514588951329,0.906248056138253
9,"sand",25.4773869346734,0.864865443431774,0.907498365496275,0.895182105894446,0.906278585680877
9,"sand",25.6281407035176,0.864905225432592,0.907526042632898,0.895216865430775,0.906307849096938
9,"sand",25.7788944723618,0.864943450395042,0.907552561481897,0.895250226742626,0.906335898896809
9,"sand",25.929648241206,0.864980179260465,0.907577970517586,0.89528224609091,0.906362785413033
9,"sand",26.0804020100502,0.865015470585004,0.907602316185631,0.895312977472096,0.906388556890645
9,"sand",26.2311557788945,0.865049380632954,0.907625642987947,0.895342472709377,0.906413259573756
9,"sand",26.3819095477387,0.865081963466471,0.907647993564043,0.895370781540166,0.906436937788543
9,"sand",26.5326633165829,0.865113271031753,0.907669408768969,0.895397951700067,0.90645963402279
9,"sand",26.6834170854271,0.865143353241867,0.90768992774799,0.89542402900347,0.90648138900214
9,"sand",26.8341708542714,0.865172258056314,0.907709588008141,0.895449057420889,0.906502241763181
9,"sand",26.9849246231156,0.8652000315575,0.907728425486791,0.895473079153198,0.906522229723496
9,"sand",27.1356783919598,0.865226718024197,0.90774647461733,0.895496134702872,0.906541388748815
9,"sand",27.286432160804,0.865252360002138,0.90776376839211,0.895518262942356,0.906559753217375
9,"sand",27.4371859296482,0.865276998371847,0.907780338422756,0.89553950117969,0.906577356081615
9,"sand",27.5879396984925,0.865300672413816,0.907796214997944,0.895559885221478,0.906594228927313
9,"sand",27.7386934673367,0.865323419871126,0.907811427138773,0.895579449433339,0.906610402030264
9,"sand",27.8894472361809,0.865345277009622,0.907826002651806,0.895598226797906,0.906625904410615
9,"sand",28.0402010050251,0.865366278675729,0.907839968179906,0.8956162489705,0.906640763884941
9,"sand",28.1909547738693,0.865386458352011,0.907853349250929,0.895633546332562,0.906655007116163
9,"sand",28.3417085427136,0.865405848210547,0.907866170324392,0.89565014804293,0.906668659661394
9,"sand",28.4924623115578,0.865424479164225,0.907878454836183,0.895666082087051,0.906681746017806
9,"sand",28.643216080402,0.865442380916025,0.907890225241396,0.895681375324217,0.906694289666586
9,"sand",28.7939698492462,0.865459582006374,0.907901503055383,0.895696053532892,0.906706313115077
9,"sand",28.9447236180904,0.865476109858649,0.907912308893076,0.895710141454218,0.906717837937165
9,"sand",29.0954773869347,0.865491990822894,0.907922662506673,0.895723662833771,0.906728884811997
9,"sand",29.2462311557789,0.865507250217832,0.907932582821745,0.89573664046163,0.906739473561086
9,"sand",29.3969849246231,0.865521912371232,0.907942087971826,0.895749096210839,0.906749623183883
9,"sand",29.5477386934673,0.86553600065869,0.907951195331563,0.895761051074315,0.906759351891872
9,"sand",29.6984924623116,0.865549537540897,0.907959921548473,0.895772525200276,0.906768677141247
9,"sand",29.8492462311558,0.865562544599452,0.907968282573378,0.895783537926234,0.906777615664241
9,"sand",30,0.865575042571264,0.907976293689554,0.895794107811633,0.906786183499151
10,"concrete",0,0,0,0,0
10,"concrete",0.150753768844221,0.0354408777814318,0.0379282005184433,0.0370214628943638,0.0378385545100817
10,"concrete",0.301507537688442,0.0693033341146542,0.0740903613701455,0.0723395453624012,0.0739152134772102
10,"concrete",0.452261306532663,0.101657666758191,0.10856871414168,0.106032646294623,0.108312016924974
10,"concrete",0.603015075376884,0.132571042637,0.141441661494394,0.138175555097235,0.141107184806302
10,"concrete",0.753768844221105,0.162107637279616,0.17278395544953,0.168839617923962,0.172375294879323
10,"concrete",0.904522613065327,0.190328768045223,0.202666867371908,0.198092896249885,0.202187452300704
10,"concrete",1.05527638190955,0.21729302141722,0.231158350038712,0.226000318140217,0.23061145132213
10,"concrete",1.20603015075377,0.243056374627551,0.258323192161909,0.252623822550615,0.25771192945763
10,"concrete",1.35678391959799,0.267672311864277,0.284223165715689,0.27802249698014,0.283550514472331
10,"concrete",1.50753768844221,0.291191935303647,0.308917166403941,0.302252708783194,0.308185964526902
10,"concrete",1.65829145728643,0.313664071197153,0.332461347587185,0.325368230432585,0.33167430179638
10,"concrete",1.80904522613065,0.335135371233823,0.354909247973497,0.347420359012481,0.354068939867241
10,"concrete",1.95979899497487,0.35565040938816,0.376311913363807,0.368458030207099,0.375420805202411
10,"concrete",2.1105527638191,0.375251774454789,0.396718012728399,0.388527927038753,0.395778452950448
10,"concrete",2.26130653266332,0.393980158461915,0.416173948878583,0.407674583597214,0.415188177362236
10,"concrete",2.41206030150754,0.411874441147131,0.434723963985186,0.425940483991124,0.433694117066293
10,"concrete",2.56281407035176,0.428971770670947,0.452410240183823,0.443366156741643,0.4513383554421
10,"concrete",2.71356783919598,0.445307640735607,0.469272995495712,0.459990264828308,0.468161016319684
