"","run","mean_mL_min","slope","rainfall","slope_rad","projected_area","avg_mm_min","q","Re","S","y","depth_mm","V"
"1",1,765.049291173972,15,"med",0.261799387799149,6954.66594928129,1.1000518166556,2.1251369199277e-05,21.251369199277,0.267949192431123,0.000289464674001754,0.289464674001754,0.0734161060328496
"2",2,796.791273594199,15,"med",0.261799387799149,6954.66594928129,1.14569309209818,2.21330909331722e-05,22.1330909331722,0.267949192431123,0.000293413857491203,0.293413857491203,0.0754330116594298
"3",3,729.61388167361,15,"med",0.261799387799149,6954.66594928129,1.04909982304615,2.02670522687114e-05,20.2670522687114,0.267949192431123,0.000284924718237258,0.284924718237258,0.0711312531748646
"4",4,718.593529815447,15,"med",0.261799387799149,6954.66594928129,1.03325384002046,1.99609313837624e-05,19.9609313837624,0.267949192431123,0.000283482899113906,0.283482899113906,0.0704131764073074
"5",5,716.69853391729,10,"med",0.174532925199433,7090.6158216879,1.01077050560988,1.99082926088136e-05,19.9082926088136,0.176326980708465,0.00032562856638839,0.32562856638839,0.061138040896167
"6",6,753.374265555221,10,"med",0.174532925199433,7090.6158216879,1.06249483049257,2.09270629320895e-05,20.9270629320895,0.176326980708465,0.000331090905970963,0.331090905970963,0.0632063960522214
"7",7,728.497340997223,10,"med",0.174532925199433,7090.6158216879,1.02741053713415,2.02360372499229e-05,20.2360372499229,0.176326980708465,0.000327405759902381,0.327405759902381,0.061807212114889
"8",8,729.058965372664,10,"med",0.174532925199433,7090.6158216879,1.02820260426846,2.02516379270184e-05,20.2516379270184,0.176326980708465,0.000327489874518567,0.327489874518567,0.0618389742790972
"9",9,738.297212841533,5,"med",0.0872664625997165,7172.60182626057,1.02932970590735,2.05082559122648e-05,20.5082559122648,0.087488663525924,0.000415409474681955,0.415409474681955,0.0493687726500853
"10",10,730.726976400384,5,"med",0.0872664625997165,7172.60182626057,1.01877532602608,2.02979715666773e-05,20.2979715666773,0.087488663525924,0.000413984773846644,0.413984773846644,0.0490307200868128
"11",11,727.875945036687,5,"med",0.0872664625997165,7172.60182626057,1.01480043458116,2.02187762510191e-05,20.2187762510191,0.087488663525924,0.000413445666007876,0.413445666007876,0.0489031036320838
"12",12,732.768604558148,5,"med",0.0872664625997165,7172.60182626057,1.02162175220059,2.03546834599486e-05,20.3546834599486,0.087488663525924,0.000414369968801428,0.414369968801428,0.0491220044706059
"13",13,441.744661267706,5,"low",0.0872664625997165,7172.60182626057,0.615877852929707,1.2270685035214e-05,12.270685035214,0.087488663525924,0.000350044365378776,0.350044365378776,0.035054656634556
"14",14,429.593408944089,5,"low",0.0872664625997165,7172.60182626057,0.598936647188817,1.19331502484469e-05,11.9331502484469,0.087488663525924,0.000346804873078688,0.346804873078688,0.0344088309443661
"15",15,429.670792739396,5,"low",0.0872664625997165,7172.60182626057,0.599044535228864,1.19352997983166e-05,11.9352997983166,0.087488663525924,0.000346825695454374,0.346825695454374,0.034412962922716
"16",16,426.213105493948,5,"low",0.0872664625997165,7172.60182626057,0.594223847660805,1.18392529303874e-05,11.8392529303874,0.087488663525924,0.000345892852547418,0.345892852547418,0.0342280935937073
"17",17,421.936981988575,10,"low",0.174532925199433,7090.6158216879,0.595063944513827,1.17204717219049e-05,11.7204717219049,0.176326980708465,0.000272914235310958,0.272914235310958,0.0429456224903423
"18",18,409.307563555719,10,"low",0.174532925199433,7090.6158216879,0.577252489556379,1.13696545432144e-05,11.3696545432144,0.176326980708465,0.000270163650031278,0.270163650031278,0.0420843238603643
"19",19,425.508082409085,10,"low",0.174532925199433,7090.6158216879,0.600100320070358,1.18196689558079e-05,11.8196689558079,0.176326980708465,0.000273682017775168,0.273682017775168,0.0431875979718838
"20",20,435.503943722719,10,"low",0.174532925199433,7090.6158216879,0.614197630607279,1.20973317700755e-05,12.0973317700755,0.176326980708465,0.000275808527230017,0.275808527230017,0.0438613406611126
