"run","start_time_min","end_time_min","jar_mass_g","jar_and_sample_mass_g","sample_mass_g","slope","surface","rainfall","replicate","raw_mass_g","condition","cumulative_mass_g"
12,15,20,2.58472,2.61454,0.025316,5,"sand","med",4,0.02982,3,0.816424
12,20,25,2.61571,2.63763,0.017416,5,"sand","med",4,0.0219200000000002,3,0.83384
12,25,30,2.63639,2.65288,0.011986,5,"sand","med",4,0.0164900000000001,3,0.845826
13,0,5,2.57393,2.73916,0.16194,5,"sand","low",1,0.16523,4,0.16194
13,5,10,2.57886,2.82787,0.24572,5,"sand","low",1,0.24901,4,0.40766
13,10,15,2.58719,2.67363,0.08315,5,"sand","low",1,0.0864400000000001,4,0.49081
13,15,20,2.64961,2.69842,0.04552,5,"sand","low",1,0.04881,4,0.53633
13,20,25,2.58737,2.62189,0.03123,5,"sand","low",1,0.0345200000000001,4,0.56756
13,25,30,2.60488,2.63299,0.02482,5,"sand","low",1,0.0281099999999999,4,0.59238
14,0,5,2.60995,2.7456,0.13052,5,"sand","low",2,0.13565,4,0.13052
14,5,10,2.57782,2.81417,0.23122,5,"sand","low",2,0.23635,4,0.36174
14,10,15,2.63632,2.74143,0.09998,5,"sand","low",2,0.10511,4,0.46172
14,15,20,2.59359,2.64421,0.04549,5,"sand","low",2,0.0506200000000003,4,0.50721
14,20,25,2.61791,2.65468,0.03164,5,"sand","low",2,0.0367699999999997,4,0.53885
14,25,30,2.58014,2.60934,0.02407,5,"sand","low",2,0.0291999999999999,4,0.56292
15,0,5,2.58517,2.72347,0.13121,5,"sand","low",3,0.1383,4,0.13121
15,5,10,2.65591,2.92056,0.25756,5,"sand","low",3,0.26465,4,0.38877
15,10,15,2.59691,2.67987,0.07587,5,"sand","low",3,0.0829600000000004,4,0.46464
15,15,20,2.55055,2.59838,0.04074,5,"sand","low",3,0.0478300000000003,4,0.50538
15,20,25,2.58964,2.62874,0.03201,5,"sand","low",3,0.0390999999999999,4,0.53739
15,25,30,2.61815,2.64632,0.02108,5,"sand","low",3,0.0281699999999998,4,0.55847
16,0,5,2.67045,2.81001,0.1324,5,"sand","low",4,0.13956,4,0.1324
16,5,10,2.6097,2.86236,0.2455,5,"sand","low",4,0.25266,4,0.3779
16,10,15,2.57857,2.66993,0.0842,5,"sand","low",4,0.0913599999999999,4,0.4621
16,15,20,2.64824,2.69904,0.04364,5,"sand","low",4,0.0508000000000002,4,0.50574
16,20,25,2.63514,2.6716,0.0293,5,"sand","low",4,0.0364600000000004,4,0.53504
16,25,30,2.63108,2.66082,0.02258,5,"sand","low",4,0.0297400000000003,4,0.55762
17,0,5,2.6173,2.69048,0.06511,10,"sand","low",1,0.0731799999999998,5,0.06511
17,5,10,2.60535,2.78787,0.17445,10,"sand","low",1,0.18252,5,0.23956
17,10,15,2.55274,2.67659,0.11578,10,"sand","low",1,0.12385,5,0.35534
17,15,20,2.57725,2.65531,0.06999,10,"sand","low",1,0.0780600000000002,5,0.42533
17,20,25,2.59006,2.64487,0.04674,10,"sand","low",1,0.0548100000000002,5,0.47207
17,25,30,2.63402,2.67319,0.0311,10,"sand","low",1,0.0391699999999999,5,0.50317
18,0,5,2.55618,2.60892,0.04712,10,"sand","low",2,0.05274,5,0.04712
18,5,10,2.65022,2.81627,0.16043,10,"sand","low",2,0.16605,5,0.20755
18,10,15,2.57111,2.70307,0.12634,10,"sand","low",2,0.13196,5,0.33389
18,15,20,2.63067,2.71034,0.07405,10,"sand","low",2,0.0796700000000001,5,0.40794
18,20,25,2.59456,2.64996,0.04978,10,"sand","low",2,0.0554000000000001,5,0.45772
18,25,30,2.58662,2.62903,0.03679,10,"sand","low",2,0.0424100000000003,5,0.49451
19,0,5,2.59663,2.64365,0.03999,10,"sand","low",3,0.0470199999999998,5,0.03999
19,5,10,2.58625,2.75983,0.16655,10,"sand","low",3,0.17358,5,0.20654
19,10,15,2.59566,2.7228,0.12011,10,"sand","low",3,0.12714,5,0.32665
19,15,20,2.56291,2.6444,0.07446,10,"sand","low",3,0.0814900000000001,5,0.40111
19,20,25,2.58412,2.64064,0.04949,10,"sand","low",3,0.0565199999999999,5,0.4506
19,25,30,2.62272,2.66338,0.03363,10,"sand","low",3,0.0406599999999999,5,0.48423
20,0,5,2.61001,2.68467,0.06854,10,"sand","low",4,0.0746600000000002,5,0.06854
20,5,10,2.5808,2.79307,0.20615,10,"sand","low",4,0.21227,5,0.27469
20,10,15,2.57381,2.68986,0.10993,10,"sand","low",4,0.11605,5,0.38462
20,15,20,2.63076,2.70075,0.06387,10,"sand","low",4,0.0699900000000002,5,0.44849
20,20,25,2.65022,2.69864,0.0423,10,"sand","low",4,0.0484200000000001,5,0.49079
20,25,30,2.60632,2.64517,0.03273,10,"sand","low",4,0.0388499999999996,5,0.52352
21,0,5,2.58574,2.64296,0.04958,15,"sand","low",1,0.05722,6,0.04958
21,5,10,2.6018,2.79555,0.18611,15,"sand","low",1,0.19375,6,0.23569
21,10,15,2.61753,2.74592,0.12075,15,"sand","low",1,0.12839,6,0.35644
21,15,20,2.61509,2.70257,0.07984,15,"sand","low",1,0.0874800000000002,6,0.43628
21,20,25,2.62401,2.68147,0.04982,15,"sand","low",1,0.0574599999999998,6,0.4861
21,25,30,2.59149,2.63196,0.03283,15,"sand","low",1,0.04047,6,0.51893
22,0,5,2.59936,2.66638,0.05825,15,"sand","low",2,0.0670200000000003,6,0.05825
